Sector,Year,Month,Cereals and products,Meat and fish,Egg,Milk and products,Oils and fats,Fruits,Vegetables,Pulses and products,Sugar and Confectionery,Spices,Non-alcoholic beverages,"Prepared meals, snacks, sweets etc.",Food and beverages,"Pan, tobacco and intoxicants",Clothing,Footwear,Clothing and footwear,Housing,Fuel and light,Household goods and services,Health,Transport and communication,Recreation and amusement,Education,Personal care and effects,Miscellaneous,General index
Rural,2013,January,134.71353279616534,133.20975382541744,135.46542228153928,131.45534502621157,132.95912399695945,130.20219588392166,127.69589759934185,132.95912399695945,133.8363283965624,129.19967657008974,131.33003011198258,133.7110134823334,132.2072345115855,131.70597485466956,133.46038365387543,132.5831792542725,133.33506873964646,125.69085897167798,132.2072345115855,131.33003011198258,130.32751079815066,129.45030639854772,129.57562131277672,130.07688096969267,131.2047151977536,130.32751079815066,131.70597485466956
Urban,2013,January,138.47298022303508,136.7185714238292,141.60585307875985,129.82625114123468,129.57562131277672,128.1971572562578,128.94904674163175,132.5831792542725,131.70597485466956,127.57058268511285,131.70597485466956,135.21479245308132,132.7084941685015,131.83128976889856,132.7084941685015,131.58065994044057,132.5831792542725,125.69085897167798,132.08191959735655,131.33003011198258,130.45282571237965,129.32499148431873,128.94904674163175,129.7009362270057,130.70345554083764,129.95156605546367,130.32751079815066
Rural+Urban,2013,January,135.84136702422626,134.46290296770735,137.8464056518901,130.82877045506663,131.70597485466956,129.32499148431873,128.07184234202882,132.83380908273048,133.08443891118847,128.6984169131738,131.45534502621157,134.46290296770735,132.3325494258145,131.70597485466956,133.20975382541744,132.2072345115855,133.08443891118847,125.69085897167798,132.2072345115855,131.33003011198258,130.32751079815066,129.32499148431873,129.19967657008974,129.82625114123468,130.9540853692956,130.20219588392166,131.0794002835246
Rural,2013,February,136.12762439585364,135.50432941235616,137.37421436284865,131.39058252127265,133.01114947836615,129.64535656747967,127.65081262028767,132.01387750477016,131.76455951137115,128.52342559718414,131.01660553117415,134.25773944536115,132.51251349156814,131.63990051467164,133.50978546516413,132.51251349156814,133.38512646846465,125.15763268629767,132.38785449486866,131.14126452787366,130.14399255427767,129.52069757078016,129.64535656747967,129.77001556417915,130.39331054767663,130.14399255427767,131.88921850807066
Urban,2013,February,140.74000727373513,140.74000727373513,145.72636714171512,129.64535656747967,129.02206158398215,128.52342559718414,130.76728753777516,129.77001556417915,129.39603857408065,127.52615362358816,132.13853650146964,135.87830640245463,133.63444446186364,132.13853650146964,132.88649048166664,131.51524151797216,132.63717248826765,125.15763268629767,131.76455951137115,131.14126452787366,130.51796954437614,130.14399255427767,128.77274359058316,129.27137957738117,130.01933355757816,130.01933355757816,130.51796954437614
Rural+Urban,2013,February,137.62353235624764,137.37421436284865,140.61534827703562,130.76728753777516,131.51524151797216,129.14672058068166,128.64808459388365,131.26592352457314,131.01660553117415,128.14944860708565,131.51524151797216,135.00569342555815,132.88649048166664,131.76455951137115,133.26046747176514,132.13853650146964,133.13580847506563,125.15763268629767,132.13853650146964,131.14126452787366,130.26865155097715,129.89467456087866,129.14672058068166,129.52069757078016,130.26865155097715,130.14399255427767,131.26592352457314
Rural,2013,March,136.6551766022191,134.91908542941414,136.28315706518947,130.95087703443136,131.69491610849065,131.07488354677457,125.74260351601649,131.07488354677457,130.2068379603721,128.0987272505375,130.95087703443136,134.17504635535485,132.19094215786347,132.06693564552026,133.4310072812956,132.4389551825499,133.30700076895238,124.50253839258437,131.5709095961474,130.95087703443136,129.83481842334245,129.71081191099924,128.96677283693998,129.3387923739696,129.3387923739696,129.71081191099924,131.44690308380422
Urban,2013,March,141.2434175589179,138.14325475033763,140.37537197251544,129.3387923739696,127.35468817647823,130.08283144802888,128.71875981225355,128.3467402752239,127.230681664135,126.9826686394486,132.68696820723633,136.15915055284623,133.05898774426595,132.4389551825499,132.93498123192276,131.44690308380422,132.68696820723633,124.50253839258437,131.44690308380422,131.07488354677457,130.45485098505853,130.82687052208814,128.3467402752239,128.71875981225355,129.2147858616264,130.08283144802888,130.2068379603721
Rural+Urban,2013,March,138.14325475033763,136.03514404050304,137.8952417256512,130.33084447271528,130.08283144802888,130.5788574974017,126.73465561476218,130.2068379603721,129.2147858616264,127.72670771350786,131.69491610849065,135.04309194175735,132.56296169489312,132.19094215786347,133.18299425660916,132.06693564552026,133.05898774426595,124.50253839258437,131.5709095961474,130.95087703443136,130.08283144802888,130.33084447271528,128.59475329991034,128.96677283693998,129.3387923739696,129.83481842334245,130.82687052208814
Rural,2013,April,135.93990239578793,135.07640029345532,131.8691067705057,131.12896211136348,130.38881745222128,133.5961109751709,127.55159625884275,130.38881745222128,128.53845580436573,127.304881372462,131.37567699774422,134.21289819112275,132.11582165688642,132.11582165688642,133.34939608879014,132.48589398645757,133.22603864559977,123.97423040632202,131.37567699774422,130.88224722498273,129.64867279307904,128.78517069074647,128.9085281339368,129.27860046350793,126.68809415651016,129.03188557712718,131.25231955455385
